ID,Airline,FlightNo,Departure,Arrival,DepTime
244,SK,SKW392G,ORD,CLE, 9:09AM 
245,CH,CHQ5293,ORD,LEX, 9:10AM 
246,DA,DAL1813,ORD,DTW, 9:10AM 
247,AA,AAL1636,ORD,TUS, 9:10AM 
248,AA,AAL1201,ORD,AUS, 9:10AM 
249,NK,NKS893,ORD,DFW, 9:15AM 
250,AA,AAL1063,ORD,LAX, 9:15AM 
251,EG,EGF3575,ORD,TYS, 9:15AM 
252,EG,EGF2825,ORD,BWI, 9:15AM 
253,TC,TCF3575,ORD,LGA, 9:15AM 
254,DA,DAL1632,ORD,MSP, 9:18AM 
255,CH,CHQ5329,ORD,CID, 9:20AM 
256,AW,AWE2058,ORD,CLT, 9:20AM 
257,UA,UAL1686,ORD,MMPR, 9:20AM 
258,GJ,GJS3664,ORD,PHL, 9:20AM 
259,GJ,GJS3633,ORD,OKC, 9:20AM 
260,EG,EGF3613,ORD,FAR, 9:20AM 
261,EG,EGF3283,ORD,DAY, 9:20AM 
262,LO,LOF3352,ORD,ABE, 9:21AM 
263,SK,SKW5447,ORD,MKE, 9:21AM 
264,AS,ASH3799,ORD,ATL, 9:23AM 
265,AA,AAL384,ORD,LGA, 9:25AM 
266,AS,ASQ5698,ORD,GSO, 9:27AM 
267,UA,UAL359,ORD,MMMX, 9:29AM 
268,JB,JBU1563,ORD,SJU, 9:30AM 
269,AS,ASQ4309,ORD,SDF, 9:30AM 
270,AS,ASQ4150,ORD,DSM, 9:30AM 
271,TC,TCF5938,ORD,LGA, 9:30AM 
272,UA,UAL1088,ORD,TPA, 9:30AM 
273,EG,EGF3434,ORD,DTW, 9:35AM 
274,EG,EGF3186,ORD,PIT, 9:35AM 
275,EG,EGF3215,ORD,EVV, 9:35AM 
276,AA,AAL2224,ORD,LAS, 9:35AM 
277,AA,AAL273,ORD,FLL, 9:35AM 
278,CH,CHQ5356,ORD,MKE, 9:35AM 
279,AS,ASH3803,ORD,MSY, 9:35AM 
280,EG,EGF3714,ORD,CMH, 9:35AM 
281,NK,NKS357,ORD,LAS, 9:35AM 
282,EG,EGF3171,ORD,MCI, 9:35AM 
283,RP,RPA4224,ORD,MSP, 9:35AM 
284,AA,AAL1477,ORD,RSW, 9:40AM 
285,AA,AAL2431,ORD,PSP, 9:40AM 
286,EG,EGF3230,ORD,ATL, 9:40AM 
287,EG,EGF3140,ORD,CLT, 9:40AM 
288,UA,UAL1034,ORD,IAH, 9:40AM 
289,RP,RPA4355,ORD,HDN, 9:45AM 
290,CH,CHQ5305,ORD,GRR, 9:45AM 
291,EG,EGF2980,ORD,HSV, 9:45AM 
292,AS,ASH3755,ORD,DFW, 9:45AM 
293,SK,SKW837K,ORD,TUL, 9:46AM 
294,UA,UAL1523,ORD,LAS, 9:47AM 
295,UA,UAL725,ORD,PHX, 9:47AM 
296,TC,TCF3463,ORD,SLC, 9:47AM 
297,UA,UAL547,ORD,SRQ, 9:47AM 
298,AS,ASQ4353,ORD,FSD, 9:47AM 
299,EG,EGF2744,ORD,SGF, 9:50AM 
300,EG,EGF2907,ORD,MDT, 9:50AM 
301,RP,RPA4303,ORD,ABQ, 9:50AM 
302,SK,SKW5408,ORD,MKG, 9:50AM 
303,UA,UAL599,ORD,JAC, 9:50AM 
304,UA,UAL769,ORD,SFO, 9:50AM 
305,AS,ASQ5930,ORD,YWG, 9:51AM 
306,AS,ASQ6011,ORD,GRB, 9:52AM 
307,CH,CHQ4992,ORD,IND, 9:52AM 
308,LO,LOF3398,ORD,CID, 9:52AM 
309,LO,LOF3403,ORD,MLI, 9:52AM 
310,SK,SKW5198,ORD,CVG, 9:52AM 
311,SK,SKW5241,ORD,ABQ, 9:52AM 
312,UA,UAL287,ORD,YVR, 9:53AM 
313,UA,UAL521,ORD,SEA, 9:54AM 
314,UA,UAL1653,ORD,FLL, 9:54AM 
315,EG,EGF3743,ORD,OMA, 9:55AM 
316,AA,AAL2397,ORD,STL, 9:55AM 
317,AS,ASQ5929,ORD,MSN, 9:56AM 
318,TC,TCF3562,ORD,EWR, 9:56AM 
319,AS,ASQ4509,ORD,OMA, 9:56AM 
320,TC,TCF5140,ORD,CLE, 9:57AM 
321,SK,SKW5489,ORD,MTJ, 9:57AM 
322,GJ,GJS3627,ORD,MCI, 9:58AM 
323,UA,UAL1436,ORD,BZN, 9:59AM 
324,AW,AWE785,ORD,PHL, 10:00AM 
325,AS,ASQ6082,ORD,ATW, 10:00AM 
326,AA,AAL2319,ORD,DFW, 10:00AM 
327,UA,UAL1271,ORD,LAX, 10:03AM 
328,UA,UAL1688,ORD,SJU, 10:04AM 
329,TC,TCF3520,ORD,DCA, 10:05AM 
330,AA,AAL115,ORD,PDX, 10:05AM 
331,UA,UAL835,ORD,ZSPD, 10:05AM 
332,EG,EGF3159,ORD,GRB, 10:10AM 
333,TC,TCF3495,ORD,LGA, 10:12AM 
334,UA,UAL219,ORD,HNL, 10:15AM 
335,DA,DAL2183,ORD,ATL, 10:15AM 
336,JA,JAL9,ORD,RJAA, 10:15AM 
337,SK,SKV7408,ORD,YUL, 10:15AM 
338,AA,AAL1693,ORD,MCO, 10:15AM 
339,UA,UAL1290,ORD,DEN, 10:16AM 
340,AS,ASQ5898,ORD,SBN, 10:18AM 
341,UA,UAL1164,ORD,DEN, 10:18AM 
342,AS,ASQ4286,ORD,PIT, 10:18AM 
343,EG,EGF2753,ORD,SYR, 10:20AM 
344,RP,RPA4340,ORD,DCA, 10:20AM 
345,RP,RPA4221,ORD,IND, 10:20AM 
346,AA,AAL2356,ORD,SFO, 10:25AM 
347,UA,UAL1644,ORD,BOS, 10:25AM 
348,AA,AAL2246,ORD,PBI, 10:25AM 
349,TC,TCF5940,ORD,LGA, 10:30AM 
350,AA,AAL1370,ORD,MIA, 10:30AM 
351,EG,EGF3052,ORD,XNA, 10:30AM 
352,EG,EGF3236,ORD,CMI, 10:30AM 
353,AS,ASQ3814,ORD,CMH, 10:30AM 
354,UA,UAL1074,ORD,MCO, 10:33AM 
355,EG,EGF3705,ORD,TUL, 10:35AM 
356,AA,AAL186,ORD,BOS, 10:35AM 
357,AA,AAL289,ORD,ZSPD, 10:35AM 
358,RP,RPA4361,ORD,EWR, 10:35AM 
359,FL,FLG3764,ORD,DTW, 10:35AM 
360,AS,ASQ4581,ORD,YUL, 10:37AM 
361,NK,NKS927,ORD,MCO, 10:38AM 
362,RP,RPA4291,ORD,PHL, 10:40AM 
363,RP,RPA4234,ORD,DEN, 10:40AM 
364,EG,EGF2877,ORD,BNA, 10:40AM 
365,EG,EGF2730,ORD,YYZ, 10:40AM 
366,GJ,GJS3682,ORD,MSP, 10:40AM 
367,JB,JBU906,ORD,JFK, 10:41AM 
368,UA,UAL386,ORD,LAX, 10:43AM 
369,EG,EGF2926,ORD,MHK, 10:45AM 
370,AN,ANA11,ORD,RJAA, 10:45AM 
371,AS,ASH3734,ORD,PHL, 10:47AM 
372,LO,LOF5031,ORD,STL, 10:48AM 
373,AA,AAL2321,ORD,DFW, 10:50AM 
374,CH,CHQ5315,ORD,SDF, 10:50AM 
375,AS,ASQ5846,ORD,CLE, 10:52AM 
376,SK,SKW5431,ORD,MKE, 10:53AM 
377,EG,EGF3095,ORD,SAT, 10:55AM 
378,AA,AAL378,ORD,LGA, 10:55AM 
379,UA,UAL1285,ORD,SFO, 10:58AM 
380,AW,AWE780,ORD,PHX, 11:00AM 
381,TC,TCF5138,ORD,BDL, 11:00AM 
382,LO,LOF3358,ORD,GRR, 11:00AM 
383,UA,UAL692,ORD,LGA, 11:00AM 
384,TC,TCF3466,ORD,EWR, 11:00AM 
385,CP,CPZ5772,ORD,MSP, 11:03AM 
386,AS,ASQ4504,ORD,DTW, 11:03AM 
387,GJ,GJS3634,ORD,YYZ, 11:04AM 
388,EG,EGF3168,ORD,FNT, 11:05AM 
389,EG,EGF2967,ORD,TOL, 11:05AM 
390,NK,NKS847,ORD,DEN, 11:05AM 
391,SK,SKV7398,ORD,YYZ, 11:05AM 
392,AA,AAL165,ORD,PHX, 11:05AM 
393,AA,AAL1530,ORD,SJC, 11:05AM 
394,CA,CAL5147,ORD,ANC, 11:10AM 
395,AA,AAL125,ORD,SEA, 11:10AM 
396,SK,SKW5436,ORD,SPI, 11:14AM 
397,TC,TCF3582,ORD,DCA, 11:15AM 
398,LO,LOF3345,ORD,GSP, 11:15AM 
399,CH,CHQ5359,ORD,IND, 11:15AM 
400,SK,SKW547K,ORD,IAD, 11:17AM 
401,GJ,GJS3622,ORD,ATL, 11:19AM 
402,AS,ASQ5746,ORD,BNA, 11:19AM 
403,AS,ASH3758,ORD,DAY, 11:19AM 
404,AS,ASQ4283,ORD,CLT, 11:20AM 
405,EG,EGF3688,ORD,CHA, 11:20AM 
406,LO,LOF3408,ORD,RIC, 11:20AM 
407,AS,ASQ5818,ORD,YOW, 11:24AM 
